key,value1,value2,value3
0xB0C7992aF75E04DcA2aF7e201f9316d89AdAbf78,4480,0,0
0x63425f7eE29492337062e8757CEec1278f0013F7,4274.35347,1424.78449,712.3922451
0xAaa89E9f1ba20A3672A6B217D4eDf4AE9B168f01,4160,1386.666667,693.3333333
0xa6C3fe7b46EC8cFCDC439c0a2e5F69E945e6693F,3936,0,0
0xc266Ec5f673FB1d077d4CB4c0A97066152793955,3920.598326,1306.866109,653.4330543
0xc2Eef30ba177c3c7550083E884cCB6e5c9020eB5,3910.4,1303.466667,651.7333333
0x098BE6B2046B4024bD243d2a73466E5BD7397b87,3881.22885,1293.74295,646.871475
0x3dfD82542E2Cef51148acE645a03CF6fF9e0F1a4,3798.4,795.7333333,397.8666667
0x830a57587b18Cb9AAFd241ec3F57f84a58d3A2f0,3681.28,373.5466667,186.7733333
0xeDE696C9400944f060839C8C8F0B80Eef5acdA96,3680,0,0
0x086fc7A3859cC4DE42AC9a392a7DF8e57C26D616,3616,1205.333333,602.6666667
0xD043e14f92627D697474454A90Bbc4b8275BB576,3526.72,642.24,321.12
0xE5BBeB6efA65a63A774218968fD80a852c6eC4e7,3488.64,1162.88,581.44
0xe28f60Fbeb7dae413C4C511048A5956FF5C8d1bd,3290.946485,1096.982162,548.4910809
0xb11C3CAe76c2BB1C7d6e40Acffe3F449B0b535CE,3235.587795,1078.529265,539.2646324
0x42C305BA98FA61Df1a6A6821693EdCD5E6bE281F,3200,1066.666667,533.3333333
0x5238E2D1d33c4a99675000E52140088e28c5b0ce,3200,1066.666667,533.3333333
0x3D7acC29D45675DA1B58dfc5734eEDB0a01cBe43,3200,1066.666667,533.3333333
0xf0C70100fb49a889A608122968A0EE81f2852D53,3200,1066.666667,533.3333333
0xce65C5F1667f09444d6f34520BB9F4724C84d94F,3200,1066.666667,533.3333333
0x9CbE7240e478400DC2BeB05fdD7f5D0FD1977700,3200,1066.666667,533.3333333
0x78906212Ad3Fd405D49c5a91b31789d1e88aa356,3200,0,0
0xA6540134E88a2c51b0Ed98191c09f91d309c7579,3200,0,0
0xE4a2DcCabf3903090f2d2aF4a8f380403269E274,3200,1066.666667,533.3333333
0xB33d22364082a0E490F29507Ef06eC10a28152DB,3200,1066.666667,533.3333333
0x517bEcef160ed40D4d4fC6c0a69B2dA52b00cfc2,3200,0,0
0x357ddc6f9e8B4eB975bFca0a52bD21AA3c1bc4B5,3200,0,0
0x402fD1Deb10Dd81FdCCC2A9B3C3003Fe83B68092,3200,0,0
0x7Fc46B39858dE03559E067AeC7c454b389C4Ac0E,3200,0,0
0xAD226CcD6eBf96C50DE5826C3790dc1427adD407,3200,1066.666667,533.3333333
0xcb8e6322f7C9d655BDc097222B5322dc2BC54Aab,3200,1066.666667,533.3333333
0xBEA17c47CfDD6D2cCCA2677bcE5AdC246E55544A,3199.04,1066.346667,533.1733333
0x7ab1e056159F01C51eF238dc7555B67Cf14B734B,3168,1056,528
0xb2D30406c4b0c01801F7EbC181dd8299ccFE8366,3040,1013.333333,506.6666667
0x866BDD9d1D6Cd8d5C4B8411784f1C071dD76C933,2947.717864,982.5726212,491.2863106
0x4b504458381816565F1aD4a4c0D2eaDDB01F67c3,2732.137831,640,320
0xAfCf7d0b4E3B75DbD86Ab1921b2271EAB52D6124,2720,533.3333333,266.6666667
0xBB80ceb05A782645bFFc40b98A257d5B8430cf4B,2297.218273,0,0
0x2BA40e9e3592EfB8eEF04aA4144BCF1113903BA3,2240,426.6666667,213.3333333
0x613aFc4259d8030d9217214501f725D0d187DC03,2058.56,686.1866667,343.0933333
0xF81A80B86328B5C8fbcD218f5409b8333A16d246,1942.72,647.5733333,323.7866667
0xF254015e2B4228E73Ab8F7393659d267372Ff6CA,1920,640,320
0x4b177c325cFF8B708a02A42637cf874b34De09Ad,1759.04,586.3466667,293.1733333
0x80D73a86504eF3FB28825ED1a6eA6757904A3E9f,1728,576,288
0xf67c5eAEf01c709a736993c2b9958521B1b1f086,1680.32,560.1066667,280.0533333
0x07B5e79f9A2B92DCBa527c011EEcF9Dd27627B1E,1600,533.3333333,266.6666667
0x9d3faC6DAb108B77Dae8a748e8C751BB181E96E0,1600,0,0
0xEe422CA49C3d2aAacB696FEbE98fd90685fe53ce,1600,0,0
0xa53c884eFa531005E12F2d95bE6eCeB0C7951580,1576.32,525.44,262.72
0xf909d81d1B40609f05232efA1B7D59909A5b58e8,1549.12,331.52,165.76
0x894302c7193BCe42dD36a485439a55406fBc7aA5,1481.6,493.8666667,246.9333333
0xaC22ee9ED0f34Fe24075D724D26D99F2bD75C6a5,1466.141186,488.7137286,244.3568643
0x3ceC051707590503d1d292722092199D981ce017,1339.070766,339.6902554,169.8451277
0xDCBC01Ee2cBB4007139F70B9d67dd51c73f1269F,1314.619037,438.2063457,219.1031729
0x0Bc11bc1B3d06E54D4AA3CB37c86134726A704ee,1280,426.6666667,213.3333333
0x2F69Aa95e577ce97211FcC4EED8F905Ae4ffdAD1,1256.431707,150.5439023,75.27195117
